Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000000581	chr11	17157582	17169179	5049	+	475	464	461	363	128	251
ENSMUSG00000000594	chr11	54911617	54926531	4127	+	814	596	495	502	164	329
ENSMUSG00000000600	chr5	3803165	3847487	14575	+	888	926	809	993	277	697
ENSMUSG00000000605	chr7	7235027	7252222	9288	-	355	282	296	284	51	178
ENSMUSG00000000606	chr14	52030676	52039202	8373	+	1	0	0	0	0	0
ENSMUSG00000000617	chr11	50664187	50679710	13389	+	5	0	0	5	2	6
ENSMUSG00000000627	chr6	82861879	82889763	7185	-	87	87	70	85	16	82
ENSMUSG00000000628	chr6	82675019	82724448	9404	-	8739	7006	6354	6069	1226	4456
ENSMUSG00000000631	chr11	77576748	77679482	109262	+	2038	1782	1453	2669	669	2505
ENSMUSG00000000632	chr11	77744302	77792550	23717	+	20	14	13	15	4	14
ENSMUSG00000000673	chr17	84230696	84246130	1222	-	3	2	6	1	0	0
ENSMUSG00000000682	chr4	133638363	133650997	1400	-	0	1	0	0	0	0
ENSMUSG00000000686	chr11	77328623	77352109	3695	+	6	7	9	12	2	12
ENSMUSG00000000690	chr11	96153790	96162883	3500	+	0	0	0	9	3	5
ENSMUSG00000000693	chr6	82984167	83002556	8423	+	36	39	65	94	19	43
ENSMUSG00000000701	chr12	106414568	106419353	1039	+	0	5	1	0	1	2
ENSMUSG00000000702	chrUn_random	406181	413124	1037	+	0	0	0	0	0	0
ENSMUSG00000000706	chr13	23548861	23557770	4500	-	18	15	19	26	6	17
ENSMUSG00000000708	chr17	53706186	53812045	7394	+	3347	3002	2893	2857	766	1857
ENSMUSG00000000711	chr10	128114249	128133324	3166	-	1324	1082	1073	842	167	473
ENSMUSG00000000724	chr11	77532117	77538785	2869	-	4	3	3	3	0	4
ENSMUSG00000000730	chr10	77504692	77526367	9618	+	3918	3316	3077	7346	1418	4700
ENSMUSG00000000731	chr10	77492767	77506355	27277	-	295	148	126	512	120	400
ENSMUSG00000000732	chr10	77532105	77546000	3965	+	389	348	299	738	157	1039
ENSMUSG00000000738	chr8	125586842	125621660	18913	+	1648	1509	1376	1588	327	1021
ENSMUSG00000000739	chr8	125666747	125682215	4759	-	22	18	12	18	2	11
ENSMUSG00000000740	chr8	125626250	125629144	4455	+	12900	11116	11679	9584	1917	5110
ENSMUSG00000000743	chr8	125728164	125736663	4242	-	1966	1662	1633	1462	252	910
ENSMUSG00000000751	chr11	75111668	75161826	11060	-	5343	4877	4511	6260	1274	3841
ENSMUSG00000000753	chr11	75223271	75236203	7960	-	84	90	68	112	31	72
ENSMUSG00000000759	chr8	12614277	12672248	20740	-	1647	1532	1400	1575	356	1184
ENSMUSG00000000766	chr10	3308332	3588035	54303	-	0	0	1	0	0	0
ENSMUSG00000000776	chr14	70838555	70843278	2049	-	341	310	277	431	94	291
ENSMUSG00000000782	chr11	52065873	52096681	8336	-	326	290	244	238	85	240
ENSMUSG00000000787	chrX	12858096	12871178	7876	+	17492	16062	14222	16359	4677	9435
ENSMUSG00000000791	chr8	73332348	73345323	5611	+	13	20	18	30	4	20
ENSMUSG00000000792	chr8	73406788	73416656	2928	-	48	45	31	58	20	93
ENSMUSG00000000794	chr3	89324086	89471683	3648	+	5	3	8	4	0	3
ENSMUSG00000000804	chr11	84797944	84953663	14093	-	1074	1226	820	940	275	871
ENSMUSG00000000805	chr11	84771288	84779546	5321	+	18	14	13	74	15	56
ENSMUSG00000000811	chr6	89593982	89625523	5330	+	176	136	122	137	46	94
ENSMUSG00000000817	chr1	163710820	163718626	2786	-	0	0	0	1	0	1
ENSMUSG00000000823	chr2	181316808	181327508	21695	-	930	999	768	1285	297	1093
ENSMUSG00000000826	chr2	181255190	181289838	16300	+	1888	1700	1547	1563	326	1085
ENSMUSG00000000827	chr2	181231847	181252671	17570	+	1839	1598	1518	1629	382	981
ENSMUSG00000000838	chrX	65931716	65971138	45257	+	2365	2236	1847	1993	606	1215
ENSMUSG00000000861	chr11	23978056	24074123	19335	+	12	14	9	33	7	34
ENSMUSG00000000869	chr11	53416484	53432171	2266	-	0	0	0	0	0	0
ENSMUSG00000000876	chr2	154411494	154429444	3349	-	109	101	95	110	24	73
ENSMUSG00000000881	chrX	97963061	98013749	27691	+	536	391	400	444	127	300
ENSMUSG00000000884	chr16	18498861	18566772	22096	+	255	254	229	207	40	169
ENSMUSG00000000889	chr2	27020753	27038720	5026	+	0	0	0	0	0	0
ENSMUSG00000000901	chr10	75385967	75400678	5924	-	887	817	717	838	188	596
ENSMUSG00000000902	chr10	75359514	75384362	16194	-	1711	1593	1459	1405	357	1261
ENSMUSG00000000903	chr10	75405802	75412402	1354	+	8	9	9	10	1	8
ENSMUSG00000000915	chr5	124423637	124453220	7879	+	313	262	270	257	64	184
ENSMUSG00000000916	chr5	135845823	135852675	7264	+	478	423	405	454	73	295
ENSMUSG00000000934	chr15	75487465	75509230	1903	-	112	97	117	136	26	94
ENSMUSG00000000938	chr6	52181196	52190853	10124	-	19	14	19	97	23	53
ENSMUSG00000000942	chr6	52139670	52141752	2267	-	0	4	3	31	12	18
ENSMUSG00000000948	chr7	67127388	67285105	4046	-	1152	1086	921	1772	390	1236
ENSMUSG00000000957	chr14	55050441	55060095	2597	+	252	206	175	341	88	238
ENSMUSG00000000958	chr14	54989128	55032856	4189	-	743	764	644	3392	761	2143
ENSMUSG00000000959	chr14	54980525	54989353	2534	+	1307	1163	1088	1069	208	696
ENSMUSG00000000976	chr11	83567198	83597256	11269	+	761	719	620	693	148	553
ENSMUSG00000000982	chr11	83461346	83462857	766	-	1	0	2	3	0	0
ENSMUSG00000000983	chr11	83522517	83524850	1972	+	0	0	0	0	0	0
ENSMUSG00000001014	chr9	20833817	20834975	907	+	22	14	11	22	3	10
ENSMUSG00000001016	chr3	90280123	90292301	1973	+	3869	3421	3321	3388	620	1778
ENSMUSG00000001017	chr3	90302878	90313420	18459	-	3255	2992	2920	2803	620	1479
ENSMUSG00000001018	chr3	90291948	90294955	7809	-	674	593	602	498	121	266
ENSMUSG00000001020	chr3	90407692	90409967	1332	+	0	0	1	2	0	1
ENSMUSG00000001021	chr3	90404137	90406624	712	+	1	0	0	0	0	0
ENSMUSG00000001023	chr3	90412445	90415702	853	+	0	0	0	1	0	0
ENSMUSG00000001025	chr3	90416816	90418336	719	+	84	71	69	418	98	246
ENSMUSG00000001027	chr11	106179906	106214602	7041	-	0	0	0	3	0	1
ENSMUSG00000001029	chr11	106238970	106249389	3525	-	16	16	13	12	1	12
ENSMUSG00000001034	chr11	61302314	61307908	28851	-	555	463	442	471	95	348
ENSMUSG00000001036	chr11	61330751	61393187	21055	-	2167	2043	1691	1691	419	1489
ENSMUSG00000001039	chr11	61318646	61326433	4702	+	202	179	168	256	57	125
ENSMUSG00000001052	chr3	129685677	129764471	16902	-	520	609	449	657	191	648
ENSMUSG00000001053	chr11	51456565	51464344	3926	-	747	662	638	495	96	301
ENSMUSG00000001054	chr11	51437173	51449398	4539	-	869	816	775	673	132	414
ENSMUSG00000001056	chr11	51433237	51437216	1867	+	2924	2467	2531	2184	513	1351
ENSMUSG00000001062	chr8	125766256	125778248	23142	-	289	266	235	282	58	244
ENSMUSG00000001065	chr8	125778095	125793645	13574	+	741	625	573	668	101	452
ENSMUSG00000001076	chr15	98915117	98918248	874	-	6	0	6	7	0	0
ENSMUSG00000001082	chr5	34976291	34979861	16412	-	1723	1542	1509	1708	309	1184
ENSMUSG00000001089	chr4	136025676	136110695	27167	+	2757	2604	2267	3516	1001	2962
ENSMUSG00000001095	chr11	78210589	78235719	2412	-	32	22	28	30	10	29
ENSMUSG00000001098	chr5	114813576	114830524	8612	-	630	522	541	504	107	310
ENSMUSG00000001100	chr11	78325695	78336238	6258	+	2417	2019	1970	2302	461	1312
ENSMUSG00000001103	chr11	78316951	78318583	2649	+	1	0	0	1	0	1
ENSMUSG00000001105	chr11	78349863	78355239	4534	+	392	289	327	323	68	181
ENSMUSG00000001119	chr10	76171537	76188913	9930	-	1	0	2	0	1	2
ENSMUSG00000001120	chr10	76224602	76424632	13603	-	146	135	106	169	41	136
ENSMUSG00000001123	chr11	78776476	78798448	4922	-	46	57	33	264	63	172
ENSMUSG00000001127	chrX	20374940	20437645	16023	+	1244	1255	979	1297	335	1106
ENSMUSG00000001128	chrX	20502580	20508681	2037	-	299	320	262	168	29	164
ENSMUSG00000001131	chrX	20447292	20451861	1716	+	758	729	671	432	86	234
ENSMUSG00000001134	chrX	20518848	20539143	3686	-	435	410	340	381	87	235
ENSMUSG00000001138	chr1	36568712	36585082	11907	+	583	565	455	660	166	600
ENSMUSG00000001143	chr1	36478910	36502116	13227	-	307	327	231	360	96	443
ENSMUSG00000001150	chr10	75931672	75978601	12805	+	5107	4633	4293	4959	1123	3529
ENSMUSG00000001151	chr10	75813999	75905657	18850	-	6533	6094	5001	6690	1648	6087
ENSMUSG00000001155	chr10	76038393	76053083	5311	+	0	1	0	0	1	1
ENSMUSG00000001156	chr6	86597038	86619153	4662	-	115	79	87	98	18	82
ENSMUSG00000001157	chr6	86641762	86683372	4683	-	529	550	419	377	124	336
ENSMUSG00000001158	chr6	86625215	86634516	3014	-	560	441	453	432	109	253
ENSMUSG00000001166	chr5	121250102	121262523	7557	-	22	20	14	19	2	12
ENSMUSG00000001168	chr5	121311430	121323521	3737	+	0	0	0	0	0	0
ENSMUSG00000001173	chrX	45265564	45319045	18668	+	1381	1336	1198	850	250	846
ENSMUSG00000001175	chr12	101437645	101448016	9225	+	4657	4010	4331	5092	1214	2670
ENSMUSG00000001211	chr10	77731923	77815234	24672	-	809	697	668	659	145	466
ENSMUSG00000001225	chr12	32075736	32158782	12915	+	2	2	2	1	1	5
ENSMUSG00000001227	chr17	56262508	56279766	7583	-	71	48	63	86	12	59
ENSMUSG00000001228	chr17	56442744	56462909	15781	+	13666	11672	10658	8918	1946	5730
ENSMUSG00000001229	chr17	56326105	56358312	6050	-	598	566	503	588	150	579
ENSMUSG00000001240	chr11	101107342	101120860	6961	+	19	11	12	9	0	6
ENSMUSG00000001247	chr7	31742428	31768188	12891	-	182	184	145	271	65	166
ENSMUSG00000001248	chr7	31915146	31936069	5260	-	993	788	788	577	122	412
ENSMUSG00000001249	chr7	31883744	31900309	11109	-	22	20	14	31	8	27
ENSMUSG00000001260	chr5	71142286	71233856	6561	-	1	4	2	1	2	6
ENSMUSG00000001270	chr12	112907566	112910549	1478	-	15613	12923	13940	5206	851	2867
ENSMUSG00000001280	chr15	102236574	102266835	17039	+	7614	7207	6145	9309	2388	6911
ENSMUSG00000001281	chr15	102046426	102062366	3080	-	143	142	126	325	59	222
ENSMUSG00000001285	chr15	102162140	102168570	8683	+	921	825	815	895	191	516
ENSMUSG00000001288	chr15	102065369	102087948	7450	-	1225	1094	1072	3529	787	2667
ENSMUSG00000001289	chr15	102156547	102162304	4791	+	1033	833	815	793	193	452
ENSMUSG00000001300	chr8	8617434	8661239	8459	-	57	58	71	66	29	76
ENSMUSG00000001305	chr1	188544857	188573237	4413	-	1541	1407	1335	1466	372	1009
ENSMUSG00000001313	chr11	101326313	101333167	3803	+	185	147	138	132	21	71
ENSMUSG00000001323	chr11	74719861	74739450	23700	-	93	52	56	48	14	42
ENSMUSG00000001333	chr4	128964861	128985803	7000	+	113	89	78	52	17	34
ENSMUSG00000001334	chr4	128814243	128821837	2763	+	8	8	7	13	2	11
ENSMUSG00000001348	chr9	21931175	21940190	4158	-	414	309	250	660	166	416
ENSMUSG00000001349	chr9	21903725	21914074	2368	+	3	1	0	10	2	3
ENSMUSG00000001366	chr9	77929306	77956872	7209	-	274	265	233	243	47	146
ENSMUSG00000001376	chr6	3448382	3553319	27030	+	2291	2278	2020	2255	639	1678
ENSMUSG00000001379	chr18	36830814	36839020	2061	-	345	287	264	369	59	290
ENSMUSG00000001380	chr18	36926184	36942859	1987	-	1990	1666	1588	1830	384	979
ENSMUSG00000001383	chr18	36953577	36959314	2257	+	1743	1456	1386	1273	287	650
ENSMUSG00000001403	chr2	164595398	164604322	3158	+	1828	1610	1682	1290	251	747
ENSMUSG00000001415	chr3	88140182	88166259	4447	+	4778	4629	4228	3676	813	2819
ENSMUSG00000001416	chr3	88101038	88125689	14912	+	14280	12122	12085	12547	2430	7030
ENSMUSG00000001417	chr3	88046796	88091132	4437	-	132	96	106	238	52	202
ENSMUSG00000001418	chr3	88128945	88135235	11799	+	1536	1401	1295	1086	220	733
ENSMUSG00000001419	chr3	87946294	87976008	17271	+	568	514	400	536	155	637
ENSMUSG00000001420	chr3	88132577	88138426	6522	-	193	166	154	166	32	110
ENSMUSG00000001424	chr6	28425139	28885162	13965	+	5092	4669	4104	4660	905	3376
ENSMUSG00000001435	chr10	76514923	76629293	18865	-	5280	4848	4394	9767	2161	7155
ENSMUSG00000001436	chr10	76494986	76523747	11267	+	343	342	277	332	55	310
ENSMUSG00000001440	chr11	97021028	97049195	7316	-	23242	20556	19393	19584	4462	12758
ENSMUSG00000001441	chr11	97067156	97141952	24530	-	2602	2640	2186	2453	778	2688
ENSMUSG00000001444	chr11	96959385	96976645	2488	-	73	49	44	50	8	37
ENSMUSG00000001445	chr11	96902874	96910527	2452	+	1356	1189	1129	1058	193	622
ENSMUSG00000001467	chr5	4081145	4104746	5392	-	2075	1601	1708	1945	485	1185
ENSMUSG00000001472	chr8	125897724	125928073	9689	+	5158	4454	4251	3879	769	2574
ENSMUSG00000001473	chr18	67550371	67562402	1757	+	1175	932	936	1083	236	582
ENSMUSG00000001482	chr8	125966886	125987170	16207	+	1987	1774	1594	1460	268	1048
ENSMUSG00000001493	chr11	101738824	101755688	2228	-	11	5	5	58	19	32
ENSMUSG00000001494	chr11	101823772	101828329	2066	-	1	0	0	2	1	0
ENSMUSG00000001496	chr12	57632922	57637895	2832	-	1	3	1	0	1	4
ENSMUSG00000001497	chr12	57792754	57813809	10822	+	7	3	6	6	1	1
ENSMUSG00000001504	chr13	72766245	72771644	10718	+	13	4	8	8	2	5
ENSMUSG00000001506	chr11	94797538	94814356	11188	+	12	10	8	9	6	16
ENSMUSG00000001507	chr11	94905788	94938115	21001	-	2290	2070	1802	5789	1263	4227
ENSMUSG00000001508	chr11	94824105	94837641	5578	-	0	0	2	0	0	0
ENSMUSG00000001510	chr11	94981403	94986610	2637	+	4	3	3	12	3	13
ENSMUSG00000001517	chr6	128312985	128325911	9836	+	1050	1009	790	865	255	723
ENSMUSG00000001518	chr6	128359462	128374949	13312	-	871	828	710	815	134	632
ENSMUSG00000001520	chr6	128349314	128358950	8064	+	31	20	12	29	11	40
ENSMUSG00000001521	chr6	128271158	128305869	8012	-	804	780	668	595	119	551
ENSMUSG00000001524	chr17	35804675	35810684	10469	-	722	575	631	659	134	409
ENSMUSG00000001525	chr17	35970871	35975251	5096	-	42558	36120	35358	27562	5732	15273
ENSMUSG00000001542	chr13	75844932	75909804	3647	+	2011	1897	1574	1868	465	1110
ENSMUSG00000001552	chr11	100230272	100259077	12298	-	2698	2525	2252	2014	484	1602
ENSMUSG00000001555	chr11	100277011	100286138	6486	+	63	76	61	135	25	75
ENSMUSG00000001558	chr11	100303231	100318336	2949	+	12	12	17	24	4	12
ENSMUSG00000001566	chr5	29799578	29805059	4308	-	3	5	4	3	1	3
ENSMUSG00000001569	chr5	29761204	29780046	5413	+	1206	1063	1039	1104	220	800
ENSMUSG00000001576	chr17	26698434	26793876	9621	+	1573	1404	1281	1557	360	1081
ENSMUSG00000001583	chr11	69664065	69672232	14714	-	165	125	122	103	20	97
ENSMUSG00000001588	chr11	69695069	69709041	8419	-	131	91	113	214	50	141
ENSMUSG00000001604	chr4	135803644	135830813	2773	+	813	758	650	703	154	471
ENSMUSG00000001622	chr5	88354604	88361690	7400	+	2	1	2	81	18	51
ENSMUSG00000001627	chr12	40928154	40975091	10789	-	1137	1049	1011	1136	334	857
ENSMUSG00000001630	chr6	146673517	146727334	6824	+	568	620	452	642	157	429
ENSMUSG00000001632	chr6	113257175	113274851	26988	+	1622	1516	1346	1525	358	1132
ENSMUSG00000001642	chr6	34253934	34267497	7238	-	2572	2338	2294	2946	562	1713
ENSMUSG00000001655	chr15	102751534	102759245	2461	+	107	100	110	64	11	46
ENSMUSG00000001656	chr15	102784858	102788139	2021	+	35	39	27	5	4	9
ENSMUSG00000001657	chr15	102821053	102824698	2299	+	11	7	8	2	0	4
ENSMUSG00000001661	chr15	102828688	102842312	3109	+	7	7	8	3	0	6
ENSMUSG00000001663	chr10	75246558	75261329	2610	-	5	1	5	4	1	2
ENSMUSG00000001665	chr10	75236860	75244159	4584	-	57	56	50	55	11	40
ENSMUSG00000001666	chr10	75233975	75236159	1223	-	446	356	393	366	98	195
ENSMUSG00000001670	chr8	112514337	112523703	3133	+	15	13	10	2	0	0
ENSMUSG00000001672	chr8	112471814	112486103	4331	-	13	15	9	10	2	9
ENSMUSG00000001674	chr1	123450412	123464566	3843	-	1857	1615	1676	1744	365	1002
ENSMUSG00000001687	chr5	149316207	149364365	4668	-	1077	1017	971	1229	272	781
ENSMUSG00000001700	chr18	56559991	56663446	8444	+	6	3	7	5	1	5
ENSMUSG00000001707	chr13	38737567	38750897	1032	-	1058	941	822	862	218	464
ENSMUSG00000001729	chr12	113892032	113913095	10412	-	560	462	424	487	87	286
ENSMUSG00000001739	chr5	137442486	137451728	4369	+	25	24	11	18	7	20
ENSMUSG00000001741	chr7	90791358	90894236	14314	-	1	4	2	4	2	2
ENSMUSG00000001750	chr19	3896050	3907133	19457	-	309	254	261	339	71	252
ENSMUSG00000001751	chr11	100931326	100938986	4296	+	58	33	49	66	13	28
ENSMUSG00000001755	chr11	100943879	100947933	6224	+	528	430	445	391	73	227
ENSMUSG00000001761	chr6	29685694	29711365	3779	+	388	350	335	379	80	317
ENSMUSG00000001763	chr6	29644222	29668559	7529	+	104	104	87	95	10	67
ENSMUSG00000001767	chr2	145743215	145760750	4539	-	1570	1319	1390	1432	399	810
ENSMUSG00000001768	chr2	145610470	145713352	16067	+	51	46	34	34	13	40
ENSMUSG00000001773	chr7	93867862	93924374	5187	-	5	14	5	3	1	2
ENSMUSG00000001774	chr9	18096711	18118444	2205	+	2031	1830	1722	1734	511	1100
ENSMUSG00000001783	chr10	85401382	85420568	3001	-	2776	2389	2275	2142	448	1163
ENSMUSG00000001785	chr10	85334576	85351841	5433	+	1834	1519	1635	1679	417	963
ENSMUSG00000001786	chr10	85484717	85514618	16233	+	449	430	343	402	94	370
ENSMUSG00000001794	chr7	30971961	30980183	6377	-	4357	3611	3707	4353	878	2359
ENSMUSG00000001802	chr7	35984852	36000389	11969	-	152	118	131	132	21	89
ENSMUSG00000001804	chr18	20594676	20630322	9423	+	0	0	0	0	0	0
ENSMUSG00000001815	chr2	74491049	74497918	9974	-	0	0	0	0	0	0
